AcKc9d	58.708	12.543	63.683	36.317	
AcKcQd	58.628	12.364	62.710	37.290	
AcKdKc	58.425	13.752	77.292	22.708	
AcKc5d	58.425	13.024	74.027	25.973	
AhKdQc	58.348	12.234	50.539	49.461	
AhKd9c	58.343	12.409	51.301	48.699	
AdKcQc	58.270	12.139	56.434	43.566	
AcKd9c	58.242	12.283	54.799	45.201	
AcKc8d	58.219	12.663	66.599	33.401	
AdKc9c	58.217	12.161	52.353	47.647	
AcKdQc	58.205	12.227	57.985	42.015	
AcKc6d	58.173	12.925	71.812	28.188	
AcKcTd	58.150	11.958	54.349	45.651	
AcKc7d	58.120	12.699	68.540	31.460	
AdKc5c	58.058	12.666	65.598	34.402	
AcKd6c	58.019	12.782	67.484	32.516	
AcKd5c	57.993	12.726	66.709	33.291	
AhKd5c	57.955	12.874	62.755	37.245	
AdKcTc	57.938	11.840	48.024	51.976	
AhQdQc	57.913	12.392	59.742	40.258	
AhKdTc	57.905	11.867	42.548	57.452	
AcKc4d	57.866	12.934	73.820	26.180	
AcKd8c	57.852	12.426	59.604	40.396	
AcKd7c	57.840	12.517	62.114	37.886	
AdKc8c	57.826	12.302	56.694	43.306	
AcKdTc	57.817	11.891	49.674	50.326	
AhKd8c	57.778	12.532	56.994	43.006	
AdKc6c	57.714	12.492	61.375	38.625	
AhKd6c	57.690	12.778	60.985	39.015	
AdKc7c	57.673	12.312	57.755	42.245	
AcKd4c	57.668	12.732	67.763	32.237	
AhKd7c	57.663	12.564	57.492	42.508	
AdAcKc	57.620	12.832	70.369	29.631	
AhKdKc	57.597	13.323	68.072	31.928	
AcKcJd	57.593	11.590	46.576	53.424	
AcQdQc	57.588	11.997	57.001	42.999	
AdKc4c	57.386	12.458	63.512	36.488	
AhKd4c	57.368	12.760	64.208	35.792	
AcKc3d	57.313	12.738	70.226	29.774	
AdKcJc	57.309	11.452	40.392	59.608	
AhKdJc	57.292	11.451	34.575	65.425	
AcKd3c	57.156	12.546	65.255	34.745	
AcKc2d	57.102	12.625	67.042	32.958	
AcKdJc	57.088	11.459	41.582	58.418	
AdJcTc	56.997	11.110	32.070	67.930	
AdQcJc	56.937	10.919	19.135	80.865	
AdQc5c	56.927	11.203	40.158	59.842	
AcKd2c	56.885	12.428	61.571	38.429	
AdKc3c	56.839	12.246	59.394	40.606	
AdQc9c	56.813	10.924	31.869	68.131	
AhKd3c	56.804	12.547	60.411	39.589	
AdAhKc	56.779	12.419	60.570	39.430	
AdKc2c	56.743	12.216	56.899	43.101	
AhQd5c	56.733	11.042	36.658	63.342	
AdQc8c	56.708	10.814	33.926	66.074	
AhJdTc	56.666	10.856	23.748	76.252	
AcQd6c	56.617	11.137	41.245	58.755	
AcQd5c	56.610	10.973	38.265	61.735	
AhKd2c	56.603	12.445	56.853	43.147	
AhQd8c	56.590	10.697	30.098	69.902	
AdQc6c	56.588	11.135	39.491	60.509	
AhQdJc	56.573	10.614	11.964	88.036	
AcJdTc	56.531	10.849	28.031	71.969	
AcQd8c	56.530	10.682	33.188	66.812	
AdQc7c	56.502	10.881	33.289	66.711	
AcQc5d	56.501	10.861	38.884	61.116	
AhQd9c	56.490	10.727	28.246	71.754	
AdQcTc	56.473	10.620	16.139	83.861	
AcQd7c	56.457	10.828	33.823	66.177	
AhQd7c	56.376	10.784	31.420	68.580	
AcQd9c	56.372	10.655	28.706	71.294	
AdQc4c	56.367	11.156	41.676	58.324	
AhQd6c	56.364	11.048	38.651	61.349	
AcQd4c	56.347	11.120	41.808	58.192	
AcJcTd	56.331	10.754	26.446	73.554	
AcQc8d	56.321	10.525	35.121	64.879	
Ac9d9c	56.308	12.014	58.118	41.882	
Ah9d9c	56.295	12.226	64.493	35.507	
AdAhQc	56.292	11.398	48.699	51.301	
KhJdJc	56.282	11.924	75.677	24.323	
AcQcJd	56.280	10.510	13.935	86.065	
AcQdJc	56.236	10.534	14.235	85.765	
AcQc9d	56.232	10.548	30.006	69.994	
AhJdJc	56.219	11.722	51.662	48.338	
AhQdTc	56.215	10.372	9.455	90.545	
AcQc6d	56.173	10.847	38.682	61.318	
AcQc7d	56.144	10.597	33.810	66.190	
AhQd4c	56.138	11.078	42.150	57.850	
KcJdJc	56.130	11.474	67.127	32.873	
AcKc6c	56.113	11.815	64.497	35.503	
Kh9d9c	56.106	13.211	96.243	3.757	
AcQdTc	56.090	10.397	13.134	86.866	
AcKc5c	56.080	11.739	63.823	36.177	
Kc9d9c	56.054	12.708	93.707	6.293	
AdAcQc	56.040	11.021	45.113	54.887	
AcQcTd	55.967	10.296	11.438	88.562	
AcQc4d	55.956	10.874	40.592	59.408	
Ac8d8c	55.950	12.032	60.376	39.624	
AcKc8c	55.929	11.473	58.955	41.045	
AcKc7c	55.917	11.579	61.198	38.802	
AcQd3c	55.913	10.994	40.152	59.848	
AdQc3c	55.885	10.998	39.159	60.841	
AcKc9c	55.877	11.155	52.433	47.567	
Kc7d7c	55.848	12.920	93.685	6.315	
KcTdTc	55.845	11.598	70.899	29.101	
KhTdTc	55.808	11.848	75.155	24.845	
AcKc4c	55.788	11.700	61.889	38.111	
AdQc2c	55.773	10.959	36.981	63.019	
Kc8d8c	55.763	12.825	90.065	9.935	
Kh7d7c	55.761	13.449	97.952	2.048	
Ah8d8c	55.747	12.126	66.151	33.849	
AcJdJc	55.727	11.234	48.341	51.659	
